Index Name,Date,Open,High,Low,Close
NIFTY 50,28-Jul-25,24782.45,24889.2,24646.6,24680.9
NIFTY 50,25-Jul-25,25010.35,25010.35,24806.35,24837
NIFTY 50,24-Jul-25,25243.3,25246.25,25018.7,25062.1
NIFTY 50,23-Jul-25,25139.35,25233.5,25085.5,25219.9
NIFTY 50,22-Jul-25,25166.65,25182,25035.55,25060.9
NIFTY 50,21-Jul-25,24999,25111.4,24882.3,25090.7
NIFTY 50,18-Jul-25,25108.55,25144.6,24918.65,24968.4
NIFTY 50,17-Jul-25,25230.75,25238.35,25101,25111.45
NIFTY 50,16-Jul-25,25196.6,25255.3,25121.05,25212.05
NIFTY 50,15-Jul-25,25089.5,25245.2,25088.45,25195.8
NIFTY 50,14-Jul-25,25149.5,25151.1,25001.95,25082.3
NIFTY 50,11-Jul-25,25255.5,25322.45,25129,25149.85
NIFTY 50,10-Jul-25,25511.65,25524.05,25340.45,25355.25
NIFTY 50,09-Jul-25,25514.6,25548.7,25424.35,25476.1
NIFTY 50,08-Jul-25,25427.85,25548.05,25424.15,25522.5
NIFTY 50,07-Jul-25,25450.45,25489.8,25407.25,25461.3
NIFTY 50,04-Jul-25,25428.85,25470.25,25331.65,25461
NIFTY 50,03-Jul-25,25505.1,25587.5,25384.35,25405.3
NIFTY 50,02-Jul-25,25588.3,25608.1,25378.75,25453.4
NIFTY 50,01-Jul-25,25551.35,25593.4,25501.8,25541.8
NIFTY 50,30-Jun-25,25661.65,25669.35,25473.3,25517.05
NIFTY 50,27-Jun-25,25576.65,25654.2,25523.55,25637.8
NIFTY 50,26-Jun-25,25268.95,25565.3,25259.9,25549
NIFTY 50,25-Jun-25,25150.35,25266.8,25125.05,25244.75
NIFTY 50,24-Jun-25,25179.9,25317.7,24999.7,25044.35
NIFTY 50,23-Jun-25,24939.75,25057,24824.85,24971.9
NIFTY 50,20-Jun-25,24787.65,25136.2,24783.65,25112.4
NIFTY 50,19-Jun-25,24803.25,24863.1,24733.4,24793.25
NIFTY 50,18-Jun-25,24788.35,24947.55,24750.45,24812.05
NIFTY 50,17-Jun-25,24977.85,24982.05,24813.7,24853.4
NIFTY 50,16-Jun-25,24732.35,24967.1,24703.6,24946.5
NIFTY 50,13-Jun-25,24473,24754.35,24473,24718.6
NIFTY 50,12-Jun-25,25164.45,25196.2,24825.9,24888.2
NIFTY 50,11-Jun-25,25134.15,25222.4,25081.3,25141.4
NIFTY 50,10-Jun-25,25196.05,25199.3,25055.45,25104.25
NIFTY 50,09-Jun-25,25160.1,25160.1,25077.15,25103.2
NIFTY 50,06-Jun-25,24748.7,25029.5,24671.45,25003.05
NIFTY 50,05-Jun-25,24691.2,24899.85,24613.1,24750.9
NIFTY 50,04-Jun-25,24560.45,24644.25,24530.45,24620.2
NIFTY 50,03-Jun-25,24786.3,24845.1,24502.15,24542.5
NIFTY 50,02-Jun-25,24669.7,24754.4,24526.15,24716.6
NIFTY 50,30-May-25,24812.6,24863.95,24717.4,24750.7
NIFTY 50,29-May-25,24825.1,24892.6,24677.3,24833.6
NIFTY 50,28-May-25,24832.5,24864.25,24737.05,24752.45
NIFTY 50,27-May-25,24956.65,25062.9,24704.1,24826.2
NIFTY 50,26-May-25,24919.35,25079.2,24900.5,25001.15
NIFTY 50,23-May-25,24639.5,24909.05,24614.05,24853.15
NIFTY 50,22-May-25,24733.95,24737.5,24462.4,24609.7
NIFTY 50,21-May-25,24744.25,24946.2,24685.35,24813.45
NIFTY 50,20-May-25,24996.2,25010.35,24669.7,24683.9
NIFTY 50,19-May-25,25005.35,25062.95,24916.65,24945.45
NIFTY 50,16-May-25,25064.65,25070,24953.05,25019.8
NIFTY 50,15-May-25,24694.45,25116.25,24494.45,25062.1
NIFTY 50,14-May-25,24613.8,24767.55,24535.55,24666.9
NIFTY 50,13-May-25,24864.05,24973.8,24547.5,24578.35
NIFTY 50,12-May-25,24420.1,24944.8,24378.85,24924.7
NIFTY 50,09-May-25,23935.75,24164.25,23935.75,24008
NIFTY 50,08-May-25,24431.5,24447.25,24150.2,24273.8
NIFTY 50,07-May-25,24233.3,24449.6,24220,24414.4
NIFTY 50,06-May-25,24500.75,24509.65,24331.8,24379.6
NIFTY 50,05-May-25,24419.5,24526.4,24400.65,24461.15
